"","A","B","jaccard.index"
"1","combo-12","Trans-11","0.987603306"
"2","combo-2;23","Trans-1;7","0.885496183"
"3","combo-11;1","Prot-10;2","0.849372385"
"4","combo-13","Trans-13","0.834615385"
"5","combo-6;5","Prot-6;7","0.815126050"
"6","Prot-14","Trans-9","0.777777778"
"7","combo-10","Trans-12","0.742489270"
"8","combo-11;1","Trans-10;2","0.728571429"
"9","Prot-10;2","Trans-10;2","0.662393162"
"10","combo-10","Prot-3","0.631944444"
"11","Prot-3","Trans-12","0.588652482"
"12","Prot-1;3","Trans-3;1","0.579710145"
"13","Prot-9","Trans-2","0.528169014"
"14","Prot-9","Trans-9","0.054421769"
"15","combo-2;9;1","Prot-6;1;7;5","0.015151515"
"16","Prot-10;2","Trans-13","0.015086207"
"17","combo-2;9;2","Trans-3;1","0.014423077"
"18","combo-2;9;2","Prot-1;3","0.005405405"
"19","combo-2;23","Trans-3;3","0.003472222"
"20","combo-10","Prot-9","0.003184713"
"21","combo-10","Trans-2","0.003039514"
"22","Prot-10;3","Trans-13","0.002717391"
"23","Prot-3","Trans-2","0.002695418"
"24","combo-2;9;2","Prot-3","0.002506266"
"25","combo-13","Prot-10;2","0.002114165"
